timeStamp;ReferenceSignal
0.17;-134.0
0.18;-132.0
0.19;-132.0
0.2;-134.0
0.21;-134.0
0.22;-135.0
0.23;-135.0
0.24;-135.0
0.25;-135.0
0.26;-135.0
0.27;-135.0
0.28;-135.0
0.29;-135.0
0.3;-134.0
0.31;-132.0
0.32;-132.0
0.33;-132.0
0.34;-134.0
0.35;-132.0
0.36;-133.0
0.37;-132.0
0.38;-132.0
0.39;-132.0
0.4;-130.0
0.41;-129.0
0.42;-128.0
0.43;-127.0
0.44;-129.0
0.45;-128.0
0.46;-128.0
0.47;-127.0
0.48;-127.0
0.49;-127.0
0.5;-127.0
0.51;-126.0
0.52;-124.0
0.53;-123.0
0.54;-123.0
0.55;-122.0
0.56;-121.0
0.57;-121.0
0.58;-122.0
0.59;-122.0
0.6;-122.0
0.61;-121.0
0.62;-121.0
0.63;-119.0
0.64;-120.0
0.65;-120.0
0.66;-119.0
0.67;-119.0
0.68;-118.0
0.69;-118.0
0.7;-117.0
0.71;-117.0
0.72;-117.0
0.73;-116.0
0.74;-116.0
0.75;-114.0
0.76;-113.0
0.77;-115.0
0.78;-115.0
0.79;-116.0
0.8;-115.0
0.81;-113.0
0.82;-114.0
0.83;-114.0
0.84;-113.0
0.85;-113.0
0.86;-113.0
0.87;-113.0
0.88;-114.0
0.89;-114.0
0.9;-112.0
0.91;-112.0
0.92;-114.0
0.93;-114.0
0.94;-114.0
0.95;-114.0
0.96;-114.0
0.97;-113.0
0.98;-113.0
0.99;-112.0
1.0;-112.0
1.01;-112.0
1.02;-112.0
1.03;-112.0
1.04;-112.0
1.05;-112.0
1.06;-112.0
1.07;-112.0
1.08;-112.0
1.09;-112.0
1.1;-113.0
1.11;-113.0
1.12;-115.0
1.13;-115.0
1.14;-115.0
1.15;-115.0
1.16;-115.0
1.17;-115.0
1.18;-115.0
1.19;-116.0
1.2;-115.0
1.21;-115.0
1.22;-114.0
1.23;-114.0
1.24;-114.0
1.25;-116.0
1.26;-116.0
1.27;-116.0
1.28;-117.0
1.29;-117.0
1.3;-117.0
1.31;-117.0
1.32;-115.0
1.33;-115.0
1.34;-115.0
1.35;-115.0
1.36;-118.0
1.37;-117.0
1.38;-119.0
1.39;-119.0
1.4;-119.0
1.41;-119.0
1.42;-120.0
1.43;-120.0
1.44;-120.0
1.45;-120.0
1.46;-120.0
1.47;-120.0
1.48;-119.0
1.49;-121.0
1.5;-121.0
1.51;-121.0
1.52;-121.0
1.53;-121.0
1.54;-121.0
1.55;-121.0
1.56;-122.0
1.57;-122.0
1.58;-123.0
1.59;-122.0
1.6;-122.0
1.61;-122.0
1.62;-122.0
1.63;-122.0
1.64;-121.0
1.65;-121.0
1.66;-121.0
1.67;-121.0
1.68;-121.0
1.69;-121.0
1.7;-121.0
1.71;-121.0
1.72;-121.0
1.73;-121.0
1.74;-121.0
1.75;-121.0
1.76;-121.0
1.77;-122.0
1.78;-122.0
1.79;-122.0
1.8;-122.0
1.81;-124.0
1.82;-124.0
1.83;-124.0
1.84;-124.0
1.85;-123.0
1.86;-123.0
1.87;-123.0
1.88;-123.0
1.89;-123.0
1.9;-123.0
1.91;-123.0
1.92;-123.0
1.93;-123.0
1.94;-126.0
1.95;-126.0
1.96;-126.0
1.97;-126.0
1.98;-126.0
1.99;-126.0
2.0;-126.0
2.01;-125.0
2.02;-126.0
2.03;-126.0
2.04;-126.0
2.05;-126.0
2.06;-124.0
2.07;-124.0
2.08;-124.0
2.09;-124.0
2.1;-124.0
2.11;-124.0
2.12;-124.0
2.13;-126.0
2.14;-126.0
2.15;-126.0
2.16;-126.0
2.17;-126.0
2.18;-124.0
2.19;-124.0
2.2;-124.0
2.21;-124.0
2.22;-124.0
2.23;-124.0
2.24;-124.0
2.25;-124.0
2.26;-124.0
2.27;-124.0
2.28;-124.0
2.29;-126.0
2.3;-126.0
2.31;-126.0
2.32;-126.0
2.33;-124.0
2.34;-124.0
2.35;-124.0
2.36;-124.0
2.37;-124.0
2.38;-124.0
2.39;-126.0
2.4;-126.0
2.41;-126.0
2.42;-126.0
2.43;-126.0
2.44;-124.0
2.45;-125.0
2.46;-123.0
2.47;-125.0
2.48;-123.0
2.49;-123.0
2.5;-125.0
2.51;-125.0
2.52;-125.0
2.53;-125.0
2.54;-125.0
2.55;-125.0
2.56;-125.0
2.57;-123.0
2.58;-123.0
2.59;-123.0
2.6;-123.0
2.61;-124.0
2.62;-124.0
2.63;-122.0
2.64;-122.0
2.65;-122.0
2.66;-122.0
2.67;-122.0
2.68;-122.0
2.69;-122.0
2.7;-122.0
2.71;-122.0
2.72;-122.0
2.73;-122.0
2.74;-122.0
2.75;-122.0
2.76;-122.0
2.77;-122.0
2.78;-122.0
2.79;-121.0
2.8;-121.0
2.81;-121.0
2.82;-121.0
2.83;-121.0
2.84;-121.0
2.85;-121.0
2.86;-121.0
2.87;-121.0
2.88;-121.0
2.89;-121.0
2.9;-121.0
2.91;-121.0
2.92;-121.0
2.93;-121.0
2.94;-121.0
2.95;-121.0
2.96;-123.0
2.97;-123.0
2.98;-123.0
2.99;-123.0
3.0;-123.0
3.01;-121.0
3.02;-121.0
3.03;-121.0
3.04;-123.0
3.05;-123.0
3.06;-123.0
3.07;-123.0
3.08;-123.0
3.09;-121.0
3.1;-121.0
3.11;-121.0
3.12;-122.0
3.13;-121.0
3.14;-121.0
3.15;-122.0
3.16;-122.0
3.17;-120.0
3.18;-120.0
3.19;-121.0
3.2;-121.0
3.21;-119.0
3.22;-119.0
3.23;-118.0
3.24;-118.0
3.25;-118.0
3.26;-119.0
3.27;-117.0
3.28;-117.0
3.29;-117.0
3.3;-117.0
3.31;-117.0
3.32;-116.0
3.33;-115.0
3.34;-115.0
3.35;-115.0
3.36;-114.0
3.37;-114.0
3.38;-113.0
3.39;-112.0
3.4;-112.0
3.41;-112.0
3.42;-111.0
3.43;-112.0
3.44;-112.0
3.45;-111.0
3.46;-111.0
3.47;-111.0
3.48;-111.0
3.49;-109.0
3.5;-110.0
3.51;-109.0
3.52;-109.0
3.53;-108.0
3.54;-108.0
3.55;-107.0
3.56;-104.0
3.57;-104.0
3.58;-103.0
3.59;-102.0
3.6;-102.0
3.61;-103.0
3.62;-103.0
3.63;-103.0
3.64;-102.0
3.65;-100.0
3.66;-101.0
3.67;-101.0
3.68;-100.0
3.69;-100.0
3.7;-100.0
3.71;-99.0
3.72;-99.0
3.73;-99.0
3.74;-98.0
3.75;-96.0
3.76;-97.0
3.77;-97.0
3.78;-94.0
3.79;-94.0
3.8;-94.0
3.81;-93.0
3.82;-93.0
3.83;-92.0
3.84;-92.0
3.85;-91.0
3.86;-91.0
3.87;-91.0
3.88;-90.0
3.89;-89.0
3.9;-89.0
3.91;-88.0
3.92;-88.0
3.93;-89.0
3.94;-87.0
3.95;-86.0
3.96;-87.0
3.97;-85.0
3.98;-84.0
3.99;-85.0
4.0;-83.0
4.01;-82.0
4.02;-83.0
4.03;-80.0
4.04;-78.0
4.05;-76.0
4.06;-76.0
4.07;-76.0
4.08;-75.0
4.09;-72.0
4.1;-71.0
4.11;-69.0
4.12;-68.0
4.13;-66.0
4.14;-65.0
4.15;-63.0
4.16;-63.0
4.17;-65.0
4.18;-65.0
4.19;-64.0
4.2;-64.0
4.21;-63.0
4.22;-63.0
4.23;-62.0
4.24;-60.0
4.25;-61.0
4.26;-61.0
4.27;-60.0
4.28;-60.0
4.29;-60.0
4.3;-59.0
4.31;-57.0
4.32;-57.0
4.33;-58.0
4.34;-58.0
4.35;-57.0
4.36;-57.0
4.37;-58.0
4.38;-57.0
4.39;-57.0
4.4;-57.0
4.41;-57.0
4.42;-58.0
4.43;-57.0
4.44;-59.0
4.45;-59.0
4.46;-60.0
4.47;-59.0
4.48;-59.0
4.49;-61.0
4.5;-61.0
4.51;-62.0
4.52;-64.0
4.53;-64.0
4.54;-66.0
4.55;-66.0
4.56;-69.0
4.57;-72.0
4.58;-74.0
4.59;-76.0
4.6;-77.0
4.61;-77.0
4.62;-79.0
4.63;-80.0
4.64;-80.0
4.65;-82.0
4.66;-83.0
4.67;-82.0
4.68;-82.0
4.69;-84.0
4.7;-85.0
4.71;-87.0
4.72;-86.0
4.73;-88.0
4.74;-89.0
4.75;-91.0
4.76;-90.0
4.77;-92.0
4.78;-93.0
4.79;-93.0
4.8;-93.0
